uniprot_id	bulk_abundance	new_single_cell_F1	new_single_cell_F3	new_single_cell_F5	new_single_cell_F7	new_single_cell_F9	new_single_cell_F11	new_single_cell_F13	new_single_cell_F15	new_single_cell_F17	new_single_cell_F19	old_single_cell_F3	old_single_cell_F4	old_single_cell_F5	query_id	score
A0A087WTX2	95108.7128430849	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTX2	0.0
A0A087WTY1	15020.22248558	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTY1	1.0
A0A087WTY4	43661.5052454566	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTY4	0.0
A0A087WTY9	220163.320025196	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WTY9	0.0
A0A087WU07	676026.838383691	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WU07	2.0
A0A087WU53	236287.147069383	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WU53	2.0
A0A087WU65	200101.144737023	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WU65	1.0
A0A087WU68	4903668.9700123	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WU68	1.0
A0A087WUA5	264978.582345014	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUA5	0.0
A0A087WUB9	318120.4605581	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUB9	2.0
A0A087WUD1	128161.982843731	False	False	False	False	False	False	False	False	False	False	False	False	False	Q6DD87	3.0
A0A087WUE9	102813.853604029	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUE9	2.0
A0A087WUF6	17588.8971246475	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUF6	0.0
A0A087WUI2	12766135.0098248	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUI2	2.0
A0A087WUI8	121694.037948062	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUI8	1.0
A0A087WUK1	1541.97013429165	False	False	False	False	False	False	False	False	False	False	False	False	False	P34925	5.0
A0A087WUK2	2315397.67586351	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUK2	2.0
A0A087WUL2	9571.56407197742	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUL2	2.0
A0A087WUM0	4902.4635771738	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUM0	0.0
A0A087WUN7	1931061.34171603	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WUN7	1.0
